personID|Name
19263|"founder"
1427847|"past_investor"
1005846|"past_investor"
780008|"past_investor"
732153|"past_investor"
586265|"advisor"
570158|"past_investor"
563171|"advisor"
563297|"attorney"
116972|"advisor"
429317|"employee"
373008|"advisor"
372582|"founder"
100111|"past_investor"
711447|"past_investor"
679378|"past_investor"
616689|"past_investor"
614188|"past_investor"
557551|"past_investor"
492650|"past_investor"
492162|"past_investor"
428228|"past_investor"
412544|"past_investor"
353317|"past_investor"
273061|"past_investor"
22848|"past_investor"
13738|"past_investor"
120|"past_investor"
331070|"past_investor"
760023|"past_investor"
400955|"past_investor"
138525|"past_investor"
743850|"past_investor"
743816|"past_investor"
555025|"past_investor"
439883|"past_investor"
696102|"past_investor"
477551|"advisor"
717407|"past_investor"
666844|"past_investor"
644879|"past_investor"
315838|"employee"
3310|"board_member"
4282|"board_member"
1911|"advisor"
335785|"attorney"
300475|"attorney"
4898|"attorney"
85|"past_investor"
35895|"past_investor"
6028|"past_investor"
58024|"past_investor"
52941|"past_investor"
17623|"past_investor"
27211|"past_investor"
53160|"past_investor"
16836|"past_investor"
3875|"past_investor"
13762|"past_investor"
17878|"past_investor"
4563|"past_investor"
4175|"past_investor"
1019|"past_investor"
4308|"advisor"
3468|"advisor"
67110|"attorney"
115067|"current_investor"
444495|"current_investor"
299234|"founder"
420665|"founder"
1678903|"board_member"
659640|"partner"
654587|"board_member"
510281|"board_member"
520218|"employee"
508668|"past_investor"
520120|"employee"
511367|"employee"
520287|"employee"
223187|"past_investor"
491697|"employee"
581424|"employee"
265639|"employee"
625619|"employee"
261313|"advisor"
1647500|"founder"
221514|"advisor"
766669|"advisor"
502061|"board_member"
126259|"past_investor"
657322|"past_investor"
649067|"advisor"
641686|"advisor"
115686|"advisor"
297846|"employee"
43003|"advisor"
103513|"advisor"
46306|"founder"
419654|"advisor"
323650|"employee"
139065|"current_investor"
328354|"founder"
1698194|"employee"
686135|"current_investor"
64301|"current_investor"
953503|"employee"
68051|"advisor"
930994|"past_investor"
354576|"past_investor"
39949|"past_investor"
289405|"advisor"
642716|"past_investor"
750770|"advisor"
244438|"advisor"
455811|"advisor"
36459|"past_investor"
431055|"employee"
133014|"past_investor"
181|"past_investor"
75520|"advisor"
69186|"advisor"
122423|"advisor"
144|"past_investor"
48596|"past_investor"
8178|"past_investor"
9291|"attorney"
57926|"advisor"
3269|"advisor"
73499|"founder"
218507|"founder"
184949|"founder"
