ID|Name|RaisedFunds
"6894"|"mytweetmark"|"0"
"253288"|"Love Lab®"|"0"
"1438"|"Social Rewards"|"100k-1M"
"280349"|"Hey Gorgeous!"|"0"
"345429"|"Symfonie P2P"|"100k-1M"
"411550"|"ComboTrip"|"0"
"287517"|"MarketMuse"|"0"
"226984"|"Power-Tags"|"100k-1M"
"79594"|"Maker"|"100k-1M"
"394805"|"HomeKeepr"|"0"
"333320"|"LVX Elektronik A.Ş."|"0"
"18524"|"Trio Custom Clothiers"|"0"
"339301"|"Guiddoo World"|"0"
"291661"|"POLCO"|"10-100k"
"360681"|"PlanDo"|"0"
"215088"|"Elastera"|"0"
"293473"|"Gypsy Shack"|"0"
"302684"|"Divisible Domain"|"0"
"31518"|"Patient-Help"|"0"
"220677"|"TENDERWEEK.com"|"0"
"2919"|"Sensa.io"|"0"
"176563"|"Sensentia "|"0"
"193852"|"GeoMoby"|"0"
"77589"|"Medigram"|"0"
"348212"|"Search in MENA"|"100k-1M"
"312587"|"ThynkWare Innovation"|"0"
"229734"|"MyCity"|"0"
"237516"|"Birdzi"|"0"
"184460"|"Menuat"|"0"
"322473"|"HAKU"|"0"
"383018"|"Osblue"|"0"
"69347"|"ProTenders"|"0"
"347099"|"BondIt"|"0"
"90527"|"Phin & Phebes Ice Cream"|"10-100k"
"176527"|"Skimo TV"|"0"
"230654"|"Pet Wireless"|"0"
"283361"|"Lowdown"|"0"
"253551"|"SEAL Innovation"|"1M+"
"147916"|"CamFind"|"100k-1M"
"97226"|"Orkiv "|"0"
"232865"|"Stellar Research"|"0"
"230382"|"Color Talking"|"0"
"362328"|"Aqua Design Innovations (ADI Ventures)"|"0"
"171126"|"Vamos - The Event Guide"|"0"
"380398"|"Join2Link"|"0"
"212009"|"BookedWith"|"0"
"310327"|"KEOIS"|"0"
"116146"|"CREATE.IT"|"100k-1M"
"286475"|"HomeTrackr"|"0"
"235684"|"The Cherry Share"|"10-100k"
"355204"|"UberOnTime.com"|"0"
"263957"|"SKARA - The Blade Remains"|"0"
"419249"|"Top Flight Technologies"|"100k-1M"
"311892"|"Textbook Sharing System"|"0"
"269211"|"TonPsy"|"0"
"296660"|"BlueOtter"|"0"
"202325"|"CashBet"|"100k-1M"
"303231"|"Hexagon Lavish"|"0"
"280114"|"dondeEsta"|"100k-1M"
"161943"|"SkillGravity"|"0"
"95721"|"School Scout"|"100k-1M"
"312589"|"startbuy"|"0"
"408024"|"Well Beyond Care"|"0"
"281341"|"Avenueplanet "|"0"
"377815"|"DevBlocks"|"10-100k"
