personID|Twitter_Followers
19263|501-1000
1427847|1-10
1005846|1-10
780008|1-10
732153|1-10
586265|11-100
570158|1-10
563171|11-100
563297|1-10
116972|101-500
429317|1-10
373008|11-100
372582|101-500
100111|1001-5000
711447|11-100
679378|101-500
616689|11-100
614188|11-100
557551|101-500
492650|11-100
492162|11-100
428228|101-500
412544|11-100
353317|501-1000
273061|101-500
22848|101-500
13738|101-500
120|5000+
331070|101-500
760023|11-100
400955|101-500
138525|501-1000
743850|101-500
743816|11-100
555025|11-100
439883|101-500
696102|11-100
477551|101-500
717407|1-10
666844|1-10
644879|11-100
315838|11-100
3310|501-1000
4282|101-500
1911|1001-5000
335785|1-10
300475|11-100
4898|1001-5000
85|5000+
35895|501-1000
6028|1001-5000
58024|101-500
52941|1001-5000
17623|501-1000
27211|1001-5000
53160|101-500
16836|501-1000
3875|1001-5000
13762|11-100
17878|11-100
4563|1001-5000
4175|1001-5000
1019|1001-5000
4308|11-100
3468|1001-5000
67110|101-500
115067|1001-5000
444495|1-10
299234|101-500
420665|11-100
1678903|1-10
659640|1-10
654587|1-10
510281|11-100
520218|1-10
508668|101-500
520120|1-10
511367|1-10
520287|1-10
223187|101-500
491697|1-10
581424|11-100
265639|11-100
625619|11-100
261313|101-500
1647500|1-10
221514|11-100
766669|11-100
502061|11-100
126259|11-100
657322|1-10
649067|11-100
641686|1-10
115686|101-500
297846|11-100
43003|101-500
103513|501-1000
46306|101-500
419654|11-100
323650|11-100
139065|1001-5000
328354|1-10
1698194|1-10
686135|101-500
64301|101-500
953503|1-10
68051|11-100
930994|101-500
354576|501-1000
39949|101-500
289405|11-100
642716|101-500
750770|1-10
244438|101-500
455811|501-1000
36459|101-500
431055|11-100
133014|1001-5000
181|1001-5000
75520|101-500
69186|1001-5000
122423|1001-5000
144|5000+
48596|5000+
8178|1001-5000
9291|101-500
57926|501-1000
3269|1001-5000
73499|501-1000
218507|101-500
184949|11-100
173154|11-100
1599717|1-10
1590295|1-10
500972|11-100
920970|1-10
435931|101-500
119877|1001-5000
1145237|1-10
566948|1-10
32442|11-100
32440|1-10
12655|11-100
1571240|1-10
559219|101-500
510764|11-100
235985|11-100
510554|11-100
607819|11-100
438893|11-100
1482225|1-10
114750|1-10
1479653|1-10
348656|101-500
274921|11-100
521451|11-100
272116|101-500
1514037|1-10
144243|501-1000
62508|501-1000
644522|11-100
296862|101-500
352729|11-100
196133|501-1000
503781|101-500
558407|101-500
303017|101-500
97106|1001-5000
314006|11-100
272350|101-500
17334|5000+
520227|1-10
1016882|1-10
520422|11-100
520213|1-10
441066|11-100
522186|1-10
81224|1-10
1500161|1-10
85902|101-500
85436|11-100
316347|1-10
338995|1-10
20135|1-10
9206|1-10
11450|1-10
8524|1-10
12177|1-10
256955|11-100
851952|1-10
257059|101-500
256509|101-500
273188|1-10
33473|11-100
145985|1-10
74|1001-5000
1322227|1-10
1322226|1-10
311121|1-10
836647|1-10
283412|11-100
169256|101-500
199185|11-100
256796|11-100
614061|11-100
48607|101-500
674474|11-100
19268|101-500
400056|11-100
754259|11-100
3321|501-1000
423610|101-500
540780|11-100
541609|101-500
415312|101-500
226031|1001-5000
298729|501-1000
304237|101-500
218627|1001-5000
468693|11-100
36253|11-100
26227|501-1000
172880|501-1000
49340|501-1000
139091|11-100
105472|11-100
59243|501-1000
174449|1001-5000
99073|101-500
147405|101-500
43153|1001-5000
7312|1001-5000
10409|501-1000
31174|1001-5000
735|1001-5000
11234|5000+
5773|5000+
53953|1001-5000
1419031|1-10
1419028|1-10
1646280|1-10
1365313|11-100
1360306|11-100
1358181|1-10
990445|11-100
908346|11-100
1041713|1-10
539433|1-10
908344|1-10
946954|1-10
908323|1-10
545706|11-100
523500|101-500
637526|1-10
637524|1-10
637517|1-10
637515|1-10
543232|101-500
637505|1-10
546486|11-100
544133|1-10
546518|1-10
550925|1-10
546756|1-10
544193|1-10
539431|11-100
539651|1-10
199118|11-100
539428|1-10
541269|1-10
539537|1-10
539384|1-10
539633|11-100
529118|1-10
529121|1-10
531368|11-100
273701|11-100
161537|11-100
332928|11-100
326712|11-100
16669|501-1000
527880|11-100
350243|11-100
1176527|1-10
228173|11-100
409751|11-100
868247|1-10
369392|1-10
346331|11-100
257306|11-100
345156|11-100
345384|1-10
346362|11-100
345458|1-10
345667|1-10
345946|1-10
345507|1-10
345684|1-10
346560|1-10
352331|11-100
345425|1-10
1173096|1-10
268658|11-100
1173078|1-10
1173047|1-10
935055|1-10
935052|1-10
935050|1-10
106358|101-500
268782|11-100
22035|501-1000
850840|101-500
484785|11-100
881521|1-10
3834|1001-5000
484653|11-100
484654|1-10
484585|11-100
541795|101-500
691046|1-10
578110|11-100
493158|11-100
461724|11-100
385529|11-100
386013|11-100
385518|11-100
335034|1-10
333467|1-10
232317|1-10
232173|11-100
220136|1-10
205549|11-100
204267|1-10
199208|11-100
199213|11-100
96198|101-500
680035|11-100
638157|1-10
638155|1-10
638153|1-10
524804|11-100
524825|1-10
524423|11-100
524410|1-10
524870|1-10
532802|1-10
522492|101-500
1088823|1-10
128594|101-500
431736|11-100
469529|101-500
150183|501-1000
411129|101-500
83952|101-500
848|5000+
55791|1001-5000
256584|101-500
414000|101-500
184413|11-100
153299|11-100
4720|101-500
510829|11-100
28467|1001-5000
256869|101-500
1076022|1-10
99528|11-100
598487|1-10
611309|11-100
598486|1-10
598485|1-10
105988|101-500
334381|11-100
34325|501-1000
334045|101-500
1113317|1-10
1023876|1-10
1053816|11-100
1025150|1-10
57936|11-100
379798|11-100
111229|101-500
1022518|1-10
1022521|1-10
1022623|1-10
1022512|1-10
420180|1-10
421867|1-10
423497|1-10
424446|1-10
1022500|1-10
1022498|1-10
421687|1-10
1022489|1-10
423261|1-10
422379|1-10
373221|11-100
1022477|1-10
423353|1-10
417976|11-100
729483|1-10
1022469|1-10
729452|1-10
421753|1-10
1019884|1-10
1019810|1-10
533777|11-100
729481|1-10
729463|1-10
44088|101-500
535133|11-100
534457|1-10
424236|1-10
424392|1-10
424448|1-10
424587|1-10
424230|1-10
424221|1-10
421857|1-10
426802|1-10
422123|1-10
421675|11-100
166453|11-100
410064|1-10
39003|1001-5000
178623|101-500
379597|1-10
1011978|1-10
1011991|1-10
1011972|1-10
167480|101-500
775708|1-10
78499|101-500
802892|1-10
754302|1-10
534289|11-100
