personID|Twitter_Followers
692980|1-10
677512|1-10
512528|1001-5000
580797|11-100
212136|101-500
552539|101-500
274169|101-500
459373|501-1000
518033|11-100
263953|101-500
182463|101-500
439800|101-500
193382|101-500
252138|101-500
221595|11-100
495166|501-1000
476494|11-100
465869|101-500
185334|11-100
10053|101-500
470053|1-10
468244|1-10
468576|1-10
220419|501-1000
212296|11-100
467257|11-100
463645|1-10
76358|101-500
424247|1-10
378342|11-100
64806|101-500
378790|11-100
378341|1-10
273774|11-100
274134|1-10
213082|1-10
213295|11-100
217705|11-100
59575|101-500
213208|1-10
212544|1-10
212156|1-10
212160|11-100
214859|1-10
213986|11-100
212449|1-10
997712|1-10
997710|1-10
138446|11-100
138367|11-100
27192|11-100
676393|11-100
996144|1-10
365649|1-10
363149|11-100
236382|11-100
1015026|11-100
334340|1-10
333607|11-100
338278|1-10
333610|11-100
1200710|11-100
464940|11-100
32481|101-500
967902|1-10
545461|11-100
967876|1-10
47685|101-500
545116|11-100
516170|11-100
707115|11-100
600157|11-100
244589|501-1000
312141|11-100
311635|5000+
375893|11-100
105188|101-500
188156|11-100
57760|101-500
948401|1-10
952098|1-10
417268|101-500
88575|1001-5000
39522|1001-5000
9646|101-500
466390|11-100
347972|1-10
218331|11-100
937977|1-10
915593|1-10
329937|11-100
45874|11-100
615605|1-10
589361|1-10
7395|1001-5000
455521|1-10
432421|11-100
432415|11-100
68774|101-500
407950|1-10
188343|11-100
296054|101-500
59219|101-500
29675|1001-5000
432701|11-100
498594|11-100
924969|1-10
924968|1-10
303433|11-100
908962|11-100
924952|1-10
419091|11-100
342088|101-500
933273|11-100
89850|101-500
413868|11-100
313962|101-500
414860|101-500
333604|11-100
412232|11-100
412838|1-10
412310|1-10
133130|501-1000
345001|11-100
343047|1-10
342233|1-10
657256|1-10
534744|11-100
519479|101-500
623740|1-10
623739|1-10
623736|1-10
623734|1-10
623733|1-10
623732|1-10
623730|1-10
623729|1-10
623728|1-10
623726|1-10
390998|11-100
519057|1-10
519165|1-10
520248|1-10
57065|11-100
519805|1-10
518567|1-10
518823|1-10
520522|1-10
147309|501-1000
407945|11-100
391261|11-100
886823|1-10
885628|1-10
640094|1-10
58636|501-1000
640030|1-10
640027|1-10
640023|1-10
71338|11-100
868394|1-10
868388|1-10
868379|1-10
468884|11-100
401275|11-100
382885|11-100
247747|11-100
57730|101-500
22368|1001-5000
445843|1-10
817370|11-100
296067|101-500
296441|11-100
507921|1-10
506093|1-10
504998|1-10
346571|11-100
469191|1-10
468501|11-100
401416|101-500
400134|11-100
374990|11-100
374804|1-10
102143|101-500
346723|1-10
467606|1-10
346587|11-100
3072|101-500
265472|101-500
208176|11-100
10379|1001-5000
271080|101-500
296572|11-100
296515|11-100
1483932|1-10
1483930|1-10
1270675|1-10
1334497|1-10
1334493|1-10
1334486|1-10
1334484|1-10
455383|11-100
446361|1-10
43882|1001-5000
31179|1001-5000
419706|11-100
419684|1-10
419664|11-100
419649|11-100
1470136|1-10
237424|11-100
233348|101-500
90253|1001-5000
275169|11-100
244088|1-10
238792|1-10
1078262|1-10
281464|1-10
287044|11-100
300608|1-10
948831|1-10
948828|1-10
441534|11-100
487110|11-100
486951|1-10
487040|11-100
281354|11-100
464313|1-10
468669|1-10
281299|1-10
281349|1-10
288257|11-100
464240|11-100
464590|1-10
469345|1-10
469286|1-10
465219|1-10
304115|1-10
184|1001-5000
281457|11-100
32619|501-1000
254735|11-100
619832|1-10
27999|101-500
619797|1-10
425807|11-100
421685|1-10
420455|101-500
173860|11-100
568460|1-10
524494|11-100
266077|11-100
652247|1-10
810382|1-10
525831|1-10
527323|1-10
203376|1-10
533634|1-10
753840|1-10
582585|11-100
582522|1-10
1546111|1-10
288452|11-100
664091|1-10
664090|1-10
447848|11-100
500385|1-10
500213|1-10
440625|11-100
176520|11-100
282620|101-500
254273|1-10
38132|101-500
12047|1001-5000
2099|1001-5000
257841|11-100
133518|101-500
125716|101-500
276866|11-100
60196|11-100
89546|1-10
414986|11-100
414988|11-100
414956|11-100
422500|1-10
415322|11-100
657286|1-10
659681|1-10
657111|11-100
656930|1-10
656929|1-10
630674|1-10
541820|1-10
667362|11-100
57459|1-10
417608|11-100
656250|1-10
617040|1-10
87696|101-500
453469|11-100
662853|1-10
662822|1-10
392249|11-100
655211|1-10
485662|11-100
485850|1-10
384251|11-100
654770|1-10
654343|1-10
654074|1-10
654054|1-10
653039|1-10
653779|5000+
653658|1-10
653406|1-10
702642|1-10
700959|1-10
653282|1-10
653279|1-10
653275|1-10
653256|1-10
653226|1-10
653133|1-10
653129|11-100
384639|11-100
596949|1-10
651859|1-10
651802|11-100
651718|1-10
42412|1-10
651732|1-10
651735|1-10
651758|1-10
651756|1-10
651754|1-10
651682|1-10
372363|11-100
651579|1-10
651477|1-10
651381|1-10
651216|1-10
651200|1-10
650491|1-10
650482|1-10
650471|11-100
650395|1-10
650297|1-10
647351|1-10
54636|11-100
504944|101-500
650151|1-10
473|1001-5000
438158|1-10
94998|501-1000
311257|101-500
37433|1001-5000
439568|101-500
3430|1001-5000
138840|11-100
78630|5000+
135562|11-100
48191|101-500
78366|101-500
143570|11-100
184408|11-100
84294|101-500
53962|101-500
363518|101-500
429199|101-500
38402|101-500
1521|1001-5000
11142|1001-5000
301203|101-500
111041|11-100
252659|101-500
206337|11-100
138168|101-500
20032|101-500
197934|1001-5000
194724|501-1000
151762|101-500
188832|11-100
188321|11-100
52626|11-100
85051|11-100
32726|101-500
134631|501-1000
27625|501-1000
13347|1001-5000
8519|11-100
91564|1001-5000
71802|1001-5000
32858|1001-5000
92475|5000+
3415|1001-5000
84014|101-500
53786|101-500
8578|101-500
11517|11-100
8356|1001-5000
638549|11-100
657393|1-10
649201|1-10
637795|11-100
120717|11-100
212291|1-10
212359|11-100
648296|1-10
286120|11-100
647902|1-10
647885|1-10
647567|1-10
770812|1-10
758120|1-10
233169|101-500
664781|1-10
647700|1-10
27945|11-100
651818|1-10
651711|1-10
647568|11-100
480723|11-100
646387|1-10
646708|11-100
646772|1-10
646732|1-10
528803|11-100
47187|101-500
634460|1-10
1548334|1-10
268953|11-100
293013|11-100
159779|11-100
664259|11-100
645942|11-100
645914|11-100
645466|1-10
93943|501-1000
644139|1-10
644253|1-10
37011|1001-5000
305033|11-100
68346|11-100
282365|101-500
643519|1-10
268588|11-100
234874|11-100
657836|11-100
649777|11-100
657833|1-10
643358|1-10
643354|1-10
643351|1-10
355055|101-500
764515|1-10
644507|1-10
133435|101-500
642970|1-10
642968|1-10
642966|1-10
642963|1-10
642961|1-10
642960|1-10
642959|1-10
642958|1-10
642957|1-10
642956|1-10
642953|1-10
642952|1-10
642946|1-10
641438|1-10
578720|11-100
642851|11-100
642682|1-10
642677|1-10
642667|1-10
680218|1-10
642660|1-10
613396|1-10
642371|1-10
649095|1-10
599114|11-100
380654|101-500
626450|1-10
551477|101-500
658632|1-10
632195|11-100
618104|1-10
630854|1-10
639565|1-10
639184|1-10
327688|11-100
827597|1-10
639106|1-10
639104|1-10
639089|1-10
637836|101-500
635049|1-10
637320|1-10
260480|11-100
320145|11-100
637216|1-10
631690|11-100
640856|1-10
640854|1-10
640852|1-10
640851|1-10
636925|1-10
636923|1-10
634028|1-10
185834|101-500
431854|101-500
636968|1-10
636966|1-10
636963|1-10
636956|1-10
636865|11-100
636871|1-10
636868|1-10
380858|11-100
375515|11-100
636145|1-10
636034|1-10
271775|11-100
635862|1-10
635828|1-10
630710|11-100
614327|1-10
180810|101-500
470956|1-10
459455|11-100
470979|1-10
329117|11-100
264451|11-100
442359|11-100
225141|101-500
329337|1-10
635012|1-10
635006|1-10
634999|1-10
588236|1-10
634660|1-10
634568|1-10
633154|1-10
1180620|11-100
632481|11-100
177944|1-10
631877|11-100
631907|1-10
631738|11-100
170809|11-100
1327219|1-10
631730|11-100
606902|11-100
611396|101-500
299294|11-100
630266|1-10
630271|1-10
630222|1-10
761189|1-10
604636|1-10
271804|11-100
1039626|1-10
1029022|1-10
310814|101-500
629206|1-10
419123|11-100
628680|1-10
1672379|1-10
628671|1-10
632683|11-100
628668|1-10
628695|1-10
1012413|1-10
129|5000+
628697|1-10
628681|1-10
628661|11-100
628540|1-10
1295201|1-10
1118801|1-10
403151|11-100
58982|101-500
1166929|1-10
643390|11-100
486527|1-10
951485|1-10
682720|1-10
63216|11-100
898699|1-10
644905|1-10
627947|1-10
627897|1-10
626910|1-10
626882|1-10
626487|1-10
626523|1-10
626376|1-10
625918|1-10
625903|1-10
625621|1-10
625489|1-10
625572|1-10
625389|1-10
171898|11-100
624943|1-10
624942|1-10
620996|11-100
623439|1-10
400684|11-100
622752|1-10
622747|1-10
622736|1-10
622728|1-10
267023|11-100
400845|11-100
400760|11-100
401361|1-10
401149|1-10
401245|1-10
624074|1-10
623981|1-10
624009|1-10
623441|11-100
623385|1-10
623384|1-10
623382|1-10
543642|11-100
544136|11-100
622924|1-10
585623|1-10
622702|11-100
311573|11-100
622214|1-10
622210|1-10
621930|1-10
621882|11-100
621896|11-100
297758|1-10
557916|11-100
147730|101-500
845727|1-10
332492|11-100
875225|1-10
875217|1-10
59551|101-500
620793|1-10
620625|1-10
620497|1-10
610517|1-10
581835|11-100
853625|1-10
565203|11-100
619842|1-10
117868|11-100
619769|11-100
357890|11-100
619524|1-10
619418|1-10
23701|1-10
563982|11-100
619342|11-100
619217|1-10
619211|1-10
1231013|1-10
384335|11-100
1202883|1-10
645661|101-500
454769|11-100
571429|11-100
540840|11-100
292278|1-10
102880|501-1000
143925|101-500
2627|5000+
170128|101-500
23933|1001-5000
89567|101-500
327759|101-500
654560|1-10
540831|1-10
542013|1-10
542913|1-10
540377|1-10
484740|1-10
712658|1-10
166586|11-100
618520|1-10
3484|11-100
618381|1-10
618373|1-10
618366|1-10
273433|11-100
618029|1-10
618026|1-10
618023|1-10
617987|11-100
617860|1-10
617735|5000+
889892|1-10
21920|101-500
38567|1001-5000
617487|1-10
323554|11-100
249940|11-100
572840|11-100
219010|1-10
620981|1-10
617164|1-10
617162|1-10
617161|1-10
178075|1-10
591281|1-10
395235|5000+
617134|1-10
617131|1-10
617129|1-10
617127|1-10
301540|11-100
639213|1-10
638790|1-10
638788|1-10
616724|11-100
616598|1-10
616591|1-10
616473|1-10
615841|1-10
615832|1-10
1362024|1-10
615630|11-100
615056|1-10
625278|11-100
615055|11-100
617756|1-10
617755|1-10
612620|11-100
617725|1-10
614885|1-10
614872|1-10
614863|1-10
614780|1-10
614591|1-10
608408|1-10
342534|11-100
9636|1001-5000
613933|11-100
613898|1-10
613890|11-100
608704|1-10
613803|1-10
613588|1-10
740713|1-10
740692|1-10
740690|1-10
612808|11-100
621100|1-10
621013|1-10
612852|1-10
333497|1-10
612850|1-10
612863|1-10
612811|11-100
612762|1-10
612649|1-10
612571|1-10
612357|1-10
612325|1-10
508974|11-100
624243|11-100
1203387|11-100
1193575|1-10
224655|11-100
571655|11-100
612225|101-500
612012|1-10
611550|1-10
610280|1-10
585391|1-10
611161|1-10
611139|11-100
611095|1-10
667760|1-10
232428|1-10
667727|1-10
610990|1-10
610474|1-10
21003|1-10
610055|11-100
199030|1-10
257395|1-10
377935|1-10
377850|1-10
198892|11-100
327127|11-100
609977|1-10
608998|1-10
609578|1-10
609656|1-10
609612|1-10
470278|1-10
609054|1-10
609036|1-10
609026|1-10
31770|501-1000
608888|11-100
608491|1-10
608238|1-10
31364|11-100
607277|1-10
607308|11-100
607193|1-10
606232|1-10
197712|101-500
607113|1-10
606946|11-100
606903|11-100
138841|1-10
615059|1-10
606250|1-10
606249|1-10
602824|1-10
606048|1-10
605995|1-10
605989|11-100
606016|1-10
606015|1-10
606013|1-10
606010|1-10
606007|1-10
606004|1-10
606002|1-10
606000|1-10
605999|1-10
605996|1-10
605994|1-10
605991|1-10
558703|11-100
605853|1-10
605206|1-10
537673|11-100
605104|1-10
605100|1-10
603238|1-10
604992|1-10
484443|11-100
604724|1-10
604706|1-10
157254|11-100
165951|11-100
407615|11-100
598184|1-10
616427|1-10
146061|11-100
584665|1-10
196204|101-500
584656|11-100
584654|11-100
604073|1-10
519397|1-10
604069|1-10
604068|1-10
604051|1-10
157354|11-100
603919|1-10
603878|11-100
603560|1-10
413901|11-100
122790|501-1000
562052|11-100
2034|501-1000
202141|11-100
603307|1-10
560057|11-100
192918|11-100
31187|11-100
309939|1-10
312569|1-10
24135|101-500
182064|11-100
516855|11-100
511560|11-100
602538|1-10
602483|1-10
602220|1-10
602090|11-100
602099|1-10
602097|1-10
602070|1-10
403099|11-100
109351|101-500
4457|101-500
280231|11-100
91983|11-100
96811|101-500
106783|1-10
106763|101-500
601700|1-10
601827|1-10
601626|1-10
601279|1-10
601247|1-10
601244|1-10
601193|1-10
600987|11-100
600891|1-10
600652|11-100
600761|1-10
600798|1-10
600808|1-10
595145|11-100
600800|1-10
632261|1-10
621926|1-10
628968|1-10
626646|1-10
626464|1-10
600802|1-10
601175|1-10
596802|11-100
332614|11-100
600117|1-10
589550|1-10
599535|1-10
206615|1-10
536291|11-100
591141|11-100
400042|11-100
597602|1-10
593729|1-10
596960|11-100
597208|1-10
597207|1-10
596947|11-100
549168|1-10
596833|11-100
596831|11-100
596139|1-10
596081|1-10
596054|1-10
595017|1-10
253841|11-100
594444|11-100
594427|11-100
73166|101-500
593962|1-10
593959|1-10
593913|11-100
593512|1-10
593366|1-10
593335|1-10
593332|1-10
593326|1-10
592579|1-10
592534|1-10
592433|1-10
584243|1-10
285959|1-10
282439|1-10
590849|1-10
591258|11-100
91342|11-100
591201|11-100
591171|1-10
478682|11-100
590551|1-10
590591|1-10
12467|1001-5000
590232|1-10
52086|11-100
590061|1-10
590032|11-100
967887|11-100
589906|1-10
396622|11-100
589089|1-10
45346|1-10
604584|1-10
602221|1-10
600600|1-10
600591|1-10
600589|1-10
589093|11-100
589068|1-10
588930|1-10
588929|1-10
588902|11-100
579031|1-10
588504|1-10
395830|1-10
588252|1-10
588200|1-10
445816|1-10
298671|101-500
587970|1-10
587533|11-100
587449|11-100
68808|501-1000
170301|101-500
447913|11-100
156385|101-500
12116|501-1000
555449|11-100
555397|11-100
540305|11-100
15236|501-1000
350947|101-500
184691|501-1000
271929|11-100
275279|11-100
588075|1-10
588074|1-10
587071|1-10
586843|1-10
594672|1-10
586508|1-10
586618|1-10
588384|1-10
586684|1-10
586152|1-10
586034|1-10
586461|1-10
155680|101-500
595068|1-10
423113|5000+
585542|5000+
584923|11-100
588476|1-10
585599|11-100
402637|101-500
349425|11-100
518232|11-100
585309|11-100
156350|11-100
584337|1-10
581051|1-10
585900|11-100
156713|1-10
121392|101-500
584162|1-10
1093805|1-10
586667|11-100
583862|1-10
104576|101-500
583690|1-10
87219|11-100
583360|1-10
997353|1-10
7067|101-500
307151|11-100
582566|11-100
464525|11-100
131575|501-1000
582486|1-10
582189|11-100
266791|101-500
581913|11-100
581508|1-10
581514|1-10
581543|1-10
581481|1-10
567075|1-10
581273|1-10
392339|11-100
581254|11-100
582517|11-100
100496|101-500
581230|1-10
336580|11-100
342179|11-100
578717|1-10
857832|11-100
580438|1-10
580184|1-10
579967|1-10
579805|1-10
579856|1-10
579877|1-10
595045|1-10
584651|1-10
187835|11-100
579381|1-10
578896|1-10
580635|1-10
578833|1-10
581382|1-10
578599|11-100
578433|11-100
577294|11-100
577852|1-10
299465|11-100
616637|1-10
578337|11-100
575583|1-10
577662|1-10
577100|11-100
577235|11-100
69085|11-100
577487|1-10
377772|1-10
577444|1-10
753251|1-10
577418|11-100
577354|1-10
577024|1-10
576981|1-10
576591|1-10
552641|1-10
576490|1-10
576472|1-10
587831|1-10
576379|1-10
286928|11-100
576055|11-100
577785|11-100
578883|1-10
577726|11-100
575943|1-10
186941|11-100
575806|1-10
575719|1-10
239717|11-100
112729|11-100
580529|1-10
575232|1-10
581657|1-10
277880|1-10
575252|1-10
575287|1-10
575207|11-100
575199|11-100
575122|1-10
575056|1-10
574989|1-10
574960|1-10
575589|1-10
578418|1-10
584376|1-10
575489|1-10
575250|1-10
575296|11-100
574979|1-10
574931|11-100
574897|1-10
574751|1-10
574692|1-10
575490|1-10
578702|11-100
573602|1-10
574873|1-10
574431|1-10
573964|11-100
314223|11-100
324233|1-10
572111|1-10
574199|11-100
573103|1-10
573127|1-10
104698|11-100
588043|1-10
573673|1-10
100992|11-100
572802|1-10
572875|1-10
572860|11-100
1131098|1-10
289804|11-100
745941|1-10
543584|101-500
570955|1-10
33789|101-500
571107|1-10
570813|1-10
570933|1-10
570923|1-10
570905|1-10
1034447|1-10
444665|11-100
808850|1-10
570792|1-10
141767|101-500
570887|1-10
570754|1-10
569451|1-10
569703|1-10
569464|1-10
189205|11-100
358363|5000+
120151|101-500
467966|1-10
568384|1-10
825505|1-10
825506|1-10
825804|1-10
653985|1-10
568084|1-10
568097|1-10
375382|1-10
567863|1-10
567575|1-10
809894|1-10
231903|1-10
797587|1-10
2332|11-100
206192|11-100
566864|11-100
566815|1-10
578186|1-10
566854|1-10
566754|11-100
566720|1-10
566684|1-10
566387|11-100
5401|501-1000
187726|101-500
2711|101-500
565736|11-100
568088|1-10
565513|11-100
565282|11-100
564949|1-10
565755|1-10
564890|1-10
1157223|1-10
127460|101-500
285560|11-100
559886|1-10
670305|5000+
52900|101-500
184386|101-500
10646|101-500
197843|11-100
564782|1-10
533055|11-100
515654|11-100
564800|11-100
564866|11-100
86484|11-100
563258|101-500
564498|1-10
585032|1-10
579093|1-10
580427|1-10
562409|11-100
550918|1-10
563732|11-100
563305|1-10
189405|1-10
562890|1-10
562823|1-10
562643|1-10
562610|1-10
98037|1-10
314277|11-100
555539|1-10
518071|1-10
561364|11-100
561293|1-10
561018|11-100
1031517|1-10
476975|11-100
214695|1-10
121095|11-100
269622|1-10
120692|11-100
185734|101-500
560466|1-10
560679|1-10
560119|1-10
41226|501-1000
161196|501-1000
427106|11-100
559708|1-10
399214|11-100
517587|11-100
437443|11-100
179186|11-100
318083|11-100
559241|11-100
384355|1-10
154242|1-10
558721|1-10
558679|1-10
117214|11-100
558665|1-10
558549|1-10
558578|1-10
558541|1-10
117383|11-100
557685|1-10
302925|1-10
244234|501-1000
553683|11-100
543179|1-10
543074|1-10
425168|11-100
170589|11-100
557659|1-10
557535|1-10
557599|1-10
557583|1-10
556856|1-10
1014158|1-10
1287817|1-10
483472|101-500
228065|101-500
574628|101-500
80691|101-500
596751|11-100
97639|101-500
556725|1-10
556664|1-10
21261|501-1000
158255|101-500
556555|1-10
556207|1-10
556138|1-10
556122|1-10
73200|11-100
555930|1-10
555806|1-10
490693|1-10
467417|1-10
460742|1-10
154045|101-500
154065|501-1000
555564|1-10
569444|1-10
555091|11-100
550656|1-10
590173|1-10
554417|1-10
585515|1-10
651881|11-100
1209454|1-10
32973|101-500
561758|1-10
555515|1-10
554303|1-10
554519|1-10
554274|11-100
554244|1-10
554242|1-10
554206|1-10
554091|11-100
322393|1-10
205368|11-100
586215|1-10
553531|1-10
553084|501-1000
555700|101-500
553780|1-10
553203|1-10
553401|1-10
557913|1-10
559549|1-10
553511|11-100
553718|1-10
552801|1-10
552696|11-100
552534|1-10
591647|1-10
553019|1-10
552665|1-10
552513|101-500
552561|11-100
558558|1-10
294699|1-10
552124|1-10
552152|1-10
561415|11-100
552256|1-10
552149|1-10
284923|101-500
555687|1-10
562571|1-10
551727|1-10
551532|1-10
531668|11-100
593035|1-10
593033|1-10
593031|1-10
552683|1-10
552432|1-10
551584|1-10
552578|101-500
551395|1-10
551326|11-100
551248|1-10
486648|11-100
561875|11-100
282590|11-100
553160|1-10
551265|1-10
551044|1-10
305|1001-5000
551004|1-10
550843|1-10
424651|101-500
550901|1-10
550670|1-10
550630|1-10
550601|1-10
60439|501-1000
32|1001-5000
2081|1001-5000
42262|1001-5000
229549|101-500
97582|1001-5000
97340|101-500
122082|501-1000
14460|1001-5000
86264|1001-5000
3604|101-500
550276|1-10
549723|11-100
549675|1-10
549658|1-10
196312|11-100
550475|1-10
549468|1-10
549620|1-10
549464|1-10
490169|1-10
549362|11-100
100781|11-100
549329|1-10
102976|101-500
548974|1-10
548810|1-10
545480|1-10
548951|1-10
461659|1-10
1474280|1-10
1356180|1-10
1356178|1-10
548674|11-100
548312|1-10
312053|101-500
548131|1-10
94093|11-100
548929|1-10
548238|1-10
548044|11-100
548947|1-10
548182|1-10
345471|101-500
547892|1-10
547947|1-10
546514|11-100
547412|1-10
547191|1-10
547177|1-10
433885|11-100
371475|11-100
372714|11-100
546829|11-100
547857|11-100
546875|1-10
339714|11-100
295122|11-100
336679|1-10
294049|11-100
336733|1-10
337480|1-10
81233|1-10
294310|11-100
546810|11-100
546531|11-100
426691|1-10
546513|11-100
546490|1-10
548591|11-100
545531|1-10
589684|1-10
575896|11-100
546476|1-10
535898|5000+
509933|1-10
547211|1-10
545708|1-10
550825|1-10
545610|1-10
48625|101-500
449261|1-10
413659|11-100
403133|101-500
545073|5000+
544546|1-10
544369|11-100
954161|1-10
954160|1-10
509012|1-10
545177|1-10
367022|1-10
544154|1-10
1181508|1-10
1181503|1-10
544152|1-10
543693|1-10
543563|1-10
543277|11-100
219545|11-100
546956|1-10
548720|1-10
535528|11-100
1681250|1-10
542828|1-10
542829|1-10
542826|1-10
542802|11-100
34886|501-1000
542137|1-10
427423|11-100
164121|101-500
304282|11-100
87552|101-500
452818|1-10
453012|11-100
541997|1-10
542088|11-100
541274|1-10
541267|11-100
534762|11-100
